method, obj, restrictions,directeds,rejects,iter,changes, time
1,7435.0,0,0,0,46,0,0.222612142563
2,548.5,0,0,0,46,0,0.609750032425
3,548.5,0,0,0,46,0,0.630336999893
1,7435.0,0,0,0,47,0,0.223582983017
2,548.5,0,0,0,47,0,0.613397836685
3,548.5,0,0,0,47,0,0.615460157394
1,7435.0,0,0,0,48,0,0.234858989716
2,548.5,0,0,0,48,0,0.614248037338
3,548.5,0,0,0,48,0,0.633095979691
1,7435.0,0,0,0,49,0,0.223438024521
2,548.5,0,0,0,49,0,0.614320993423
3,548.5,0,0,0,49,0,0.615875959396
1,7435.0,0,0,0,50,0,0.237577915192
2,548.5,0,0,0,50,0,0.613926887512
3,548.5,0,0,0,50,0,0.628246068954
1,7435.0,0,0,0,51,0,0.223557949066
2,548.5,0,0,0,51,0,0.612140893936
3,548.5,0,0,0,51,0,0.632142066956
1,7435.0,0,0,0,52,0,0.223067998886
2,548.5,0,0,0,52,0,0.615031003952
3,548.5,0,0,0,52,0,0.634508132935
1,7435.0,0,0,0,53,0,0.22274684906
2,548.5,0,0,0,53,0,0.611815929413
3,548.5,0,0,0,53,0,0.617914915085
1,7435.0,0,0,0,54,0,0.239722013474
2,548.5,0,0,0,54,0,0.615571975708
3,548.5,0,0,0,54,0,0.630770921707
1,7435.0,0,0,0,55,0,0.22171998024
2,548.5,0,0,0,55,0,0.61475110054
3,548.5,0,0,0,55,0,0.635126829147
1,7435.0,0,0,0,56,0,0.2227871418
2,548.5,0,0,0,56,0,0.613239049911
3,548.5,0,0,0,56,0,0.615220069885
1,7435.0,0,0,0,57,0,0.238819122314
2,548.5,0,0,0,57,0,0.613425016403
3,548.5,0,0,0,57,0,0.630000829697
1,7435.0,0,0,0,58,0,0.222930192947
2,548.5,0,0,0,58,0,0.612612009048
3,548.5,0,0,0,58,0,0.630522012711
1,7435.0,0,0,0,59,0,0.222301006317
2,548.5,0,0,0,59,0,0.61311507225
3,548.5,0,0,0,59,0,0.616067886353
1,7435.0,0,0,0,60,0,0.234362840652
2,548.5,0,0,0,60,0,0.612930059433
3,548.5,0,0,0,60,0,0.630749940872
1,7435.0,0,0,0,61,0,0.222187995911
2,548.5,0,0,0,61,0,0.61220908165
3,548.5,0,0,0,61,0,0.613308191299
1,7435.0,0,0,0,62,0,0.236924886703
2,548.5,0,0,0,62,0,0.613506793976
3,548.5,0,0,0,62,0,0.627591133118
1,7435.0,0,0,0,63,0,0.222143888474
2,548.5,0,0,0,63,0,0.608998060226
3,548.5,0,0,0,63,0,0.632825136185
1,7435.0,0,0,0,64,0,0.223247051239
2,548.5,0,0,0,64,0,0.611101865768
3,548.5,0,0,0,64,0,0.635926008224
1,7435.0,0,0,0,65,0,0.223507881165
2,548.5,0,0,0,65,0,0.614819049835
3,548.5,0,0,0,65,0,0.620349884033
1,7435.0,0,0,0,66,0,0.240103006363
2,548.5,0,0,0,66,0,0.615036964417
3,548.5,0,0,0,66,0,0.631186962128
1,7435.0,0,0,0,67,0,0.222213029861
2,548.5,0,0,0,67,0,0.615436077118
3,548.5,0,0,0,67,0,0.635802030563
1,7435.0,0,0,0,68,0,0.222238063812
2,548.5,0,0,0,68,0,0.614583015442
3,548.5,0,0,0,68,0,0.618069887161
1,7435.0,0,0,0,69,0,0.23831319809
2,548.5,0,0,0,69,0,0.611888170242
3,548.5,0,0,0,69,0,0.628986120224
1,7435.0,0,0,0,70,0,0.223335981369
