method, obj, restrictions,directeds,rejects,iter,changes, time
1,2137.5,0,0,4,9,145,0.226059913635
2,707.0,0,0,4,9,83,0.610313892365
3,707.0,0,0,4,9,75,0.607656955719
1,2149.5,0,1,0,0,146,0.237154006958
2,725.0,0,1,0,0,73,0.617937088013
3,0.0,0,1,0,0,-1,0.0834400653839
1,2144.5,0,1,0,1,145,0.238577127457
2,712.0,0,1,0,1,76,0.606993913651
3,706.0,0,1,0,1,71,0.637277126312
1,2142.5,0,1,0,2,147,0.224259138107
2,0.0,0,1,0,2,-1,0.0859270095825
3,747.5,0,1,0,2,78,0.615305900574
1,2144.5,0,1,0,3,146,0.245724201202
2,713.0,0,1,0,3,87,0.611475944519
3,758.0,0,1,0,3,83,0.627274990082
1,2178.0,0,1,0,4,145,0.223335981369
2,724.0,0,1,0,4,75,0.609040975571
3,725.0,0,1,0,4,84,0.611886024475
1,2150.5,0,1,0,5,147,0.240239858627
2,759.0,0,1,0,5,75,0.604281902313
3,0.0,0,1,0,5,-1,0.0834109783173
1,2234.0,0,1,0,6,145,0.242291927338
2,0.0,0,1,0,6,-1,0.0918710231781
3,0.0,0,1,0,6,-1,0.0912420749664
1,2168.5,0,1,0,7,147,0.243945837021
2,1688.0,0,1,0,7,74,0.615144014359
3,1692.5,0,1,0,7,75,0.627139091492
1,2152.5,0,1,0,8,146,0.225400924683
2,767.0,0,1,0,8,87,0.616430997849
3,758.0,0,1,0,8,78,0.618515968323
1,2144.5,0,1,0,9,146,0.237023115158
2,1699.0,0,1,0,9,84,0.606091976166
3,759.0,0,1,0,9,82,0.629213809967
1,2120.5,0,1,1,0,146,0.225059986115
2,727.5,0,1,1,0,79,0.621527910233
3,0.0,0,1,1,0,-1,0.0868690013885
1,2152.5,0,1,1,1,146,0.243165969849
2,1704.0,0,1,1,1,88,0.611752986908
3,0.0,0,1,1,1,-1,0.0809140205383
1,2224.0,0,1,1,2,146,0.241513967514
2,713.0,0,1,1,2,84,0.605906009674
3,1705.0,0,1,1,2,80,0.623569011688
1,2168.5,0,1,1,3,147,0.225141048431
2,730.5,0,1,1,3,83,0.606224060059
3,708.0,0,1,1,3,80,0.636531829834
1,2118.5,0,1,1,4,146,0.225436925888
2,0.0,0,1,1,4,-1,0.0851080417633
3,0.0,0,1,1,4,-1,0.0821821689606
1,2141.5,0,1,1,5,147,0.225315093994
2,1702.0,0,1,1,5,76,0.618750095367
3,732.0,0,1,1,5,81,0.605192899704
1,2205.5,0,1,1,6,146,0.248054027557
2,0.0,0,1,1,6,-1,0.0828468799591
3,752.0,0,1,1,6,81,0.608471870422
1,2182.0,0,1,1,7,146,0.239401102066
2,733.0,0,1,1,7,80,0.607269048691
3,0.0,0,1,1,7,-1,0.0826959609985
1,2110.5,0,1,1,8,146,0.239528894424
2,0.0,0,1,1,8,-1,0.083123922348
3,768.0,0,1,1,8,80,0.641318082809
1,2114.5,0,1,1,9,146,0.223281860352
2,737.0,0,1,1,9,80,0.603384017944
3,712.0,0,1,1,9,76,0.619819164276
1,2143.5,0,1,2,0,147,0.240216016769
2,715.0,0,1,2,0,78,0.60769200325
3,741.0,0,1,2,0,76,0.618711948395
1,2169.0,0,1,2,1,146,0.224215984344
2,708.0,0,1,2,1,86,0.603480815887
3,751.0,0,1,2,1,82,0.627966880798
1,2137.5,0,1,2,2,145,0.224544048309
2,709.0,0,1,2,2,81,0.604989051819
3,1703.0,0,1,2,2,85,0.620099067688
1,2144.5,0,1,2,3,146,0.241806030273
2,752.5,0,1,2,3,80,0.607137918472
3,718.0,0,1,2,3,79,0.621536970139
1,2172.0,0,1,2,4,145,0.224417924881
2,1704.0,0,1,2,4,77,0.611805915833
3,730.0,0,1,2,4,83,0.624902009964
1,2114.5,0,1,2,5,146,0.223667144775
2,731.0,0,1,2,5,82,0.60643696785
3,769.5,0,1,2,5,86,0.618540048599
1,2151.5,0,1,2,6,147,0.23903799057
2,732.0,0,1,2,6,75,0.617224931717
3,1700.5,0,1,2,6,77,0.628365039825
1,2213.0,0,1,2,7,145,0.22634100914
2,0.0,0,1,2,7,-1,0.0939021110535
3,0.0,0,1,2,7,-1,0.08180809021
1,2201.0,0,1,2,8,145,0.22598195076
2,0.0,0,1,2,8,-1,0.101554870605
3,738.0,0,1,2,8,80,0.60174703598
1,2176.5,0,1,2,9,146,0.245553970337
2,736.0,0,1,2,9,73,0.611348152161
3,709.0,0,1,2,9,79,0.628864765167
1,2144.5,0,1,3,0,146,0.225296020508
2,1707.0,0,1,3,0,87,0.607600927353
3,735.0,0,1,3,0,82,0.607602834702
1,2148.5,0,1,3,1,145,0.240000009537
2,857.0,0,1,3,1,80,0.601253032684
3,1713.0,0,1,3,1,88,0.630431175232
1,2153.5,0,1,3,2,146,0.225414037704
2,0.0,0,1,3,2,-1,0.083447933197
3,1702.0,0,1,3,2,83,0.607497930527
1,2142.5,0,1,3,3,146,0.24448800087
2,1713.0,0,1,3,3,87,0.608133792877
3,0.0,0,1,3,3,-1,0.0881769657135
1,2191.0,0,1,3,4,145,0.241482019424
2,1708.0,0,1,3,4,85,0.609432935715
3,0.0,0,1,3,4,-1,0.0831589698792
1,2144.5,0,1,3,5,146,0.240123987198
2,0.0,0,1,3,5,-1,0.0828490257263
3,725.0,0,1,3,5,77,0.632483005524
1,2154.0,0,1,3,6,146,0.224455118179
2,1706.0,0,1,3,6,79,0.609117031097
3,727.0,0,1,3,6,74,0.619479894638
1,2126.5,0,1,3,7,145,0.241430044174
2,752.0,0,1,3,7,80,0.614840984344
3,1703.0,0,1,3,7,84,0.626967191696
1,2120.5,0,1,3,8,146,0.224623918533
2,749.0,0,1,3,8,82,0.620482206345
3,0.0,0,1,3,8,-1,0.0841882228851
1,2154.5,0,1,3,9,147,0.243631839752
2,0.0,0,1,3,9,-1,0.0830729007721
3,723.0,0,1,3,9,76,0.615216016769
1,2144.5,0,1,4,0,146,0.24302983284
2,728.0,0,1,4,0,84,0.61624789238
3,721.0,0,1,4,0,77,0.628964185715
1,2137.5,0,1,4,1,145,0.224560022354
2,0.0,0,1,4,1,-1,0.0828568935394
3,0.0,0,1,4,1,-1,0.0880341529846
1,2144.5,0,1,4,2,146,0.223563909531
2,740.0,0,1,4,2,84,0.622960090637
3,714.0,0,1,4,2,85,0.618031978607
1,2174.0,0,1,4,3,146,0.240817070007
2,754.5,0,1,4,3,85,0.607975006104
3,1697.0,0,1,4,3,88,0.634028911591
1,2194.0,0,1,4,4,146,0.224925041199
2,1709.0,0,1,4,4,83,0.603202104568
3,712.5,0,1,4,4,77,0.628866910934
1,2141.5,0,1,4,5,147,0.225347042084
2,714.0,0,1,4,5,83,0.609516143799
3,0.0,0,1,4,5,-1,0.0859980583191
1,2217.0,0,1,4,6,145,0.245860099792
2,731.5,0,1,4,6,78,0.607980966568
3,746.0,0,1,4,6,82,0.633244991302
1,2186.5,0,1,4,7,145,0.226773023605
2,730.0,0,1,4,7,78,0.606021881104
3,0.0,0,1,4,7,-1,0.0851058959961
1,2163.5,0,1,4,8,147,0.243979930878
2,754.0,0,1,4,8,79,0.602202177048
3,727.0,0,1,4,8,82,0.630960941315
1,2105.0,0,1,4,9,147,0.225755929947
2,0.0,0,1,4,9,-1,0.0861639976501
3,720.0,0,1,4,9,79,0.611232995987
1,2129.0,0,2,0,0,148,0.246034145355
2,1758.0,0,2,0,0,84,0.614008188248
3,739.0,0,2,0,0,78,0.630060911179
1,2183.0,0,2,0,1,148,0.224305868149
2,0.0,0,2,0,1,-1,0.0872869491577
3,0.0,0,2,0,1,-1,0.0863161087036
1,2152.5,0,2,0,2,145,0.226381063461
2,0.0,0,2,0,2,-1,0.0969829559326
3,0.0,0,2,0,2,-1,0.0871460437775
1,2221.0,0,2,0,3,146,0.225751876831
2,0.0,0,2,0,3,-1,0.0852398872375
3,0.0,0,2,0,3,-1,0.094899892807
1,2154.0,0,2,0,4,145,0.22439789772
2,0.0,0,2,0,4,-1,0.0821528434753
3,1774.0,0,2,0,4,82,0.624450922012
1,2200.0,0,2,0,5,148,0.223912000656
2,0.0,0,2,0,5,-1,0.0838241577148
3,0.0,0,2,0,5,-1,0.0975570678711
1,2144.5,0,2,0,6,146,0.223368167877
2,1744.0,0,2,0,6,84,0.605770111084
3,2715.0,0,2,0,6,89,0.619092941284
1,2240.5,0,2,0,7,145,0.225378036499
2,0.0,0,2,0,7,-1,0.0885257720947
3,1728.0,0,2,0,7,79,0.621427059174
1,2151.5,0,2,0,8,146,0.225138902664
2,0.0,0,2,0,8,-1,0.0897178649902
3,0.0,0,2,0,8,-1,0.0972490310669
1,2146.5,0,2,0,9,144,0.223500967026
2,772.0,0,2,0,9,87,0.60768198967
3,0.0,0,2,0,9,-1,0.0841369628906
1,2162.5,0,2,1,0,145,0.242423057556
2,758.5,0,2,1,0,89,0.597590923309
3,1762.0,0,2,1,0,89,0.622756004333
1,2144.0,0,2,1,1,147,0.224473953247
2,1733.0,0,2,1,1,80,0.606427907944
3,0.0,0,2,1,1,-1,0.0916948318481
1,2187.5,0,2,1,2,147,0.243391036987
2,1752.0,0,2,1,2,83,0.611304998398
3,0.0,0,2,1,2,-1,0.0918519496918
1,2114.5,0,2,1,3,146,0.239817142487
2,1732.0,0,2,1,3,80,0.604655981064
3,0.0,0,2,1,3,-1,0.0822448730469
1,2273.0,0,2,1,4,145,0.239813089371
2,1729.0,0,2,1,4,81,0.617964982986
3,0.0,0,2,1,4,-1,0.0811681747437
1,2155.5,0,2,1,5,147,0.239120006561
2,0.0,0,2,1,5,-1,0.0842161178589
3,1756.0,0,2,1,5,86,0.632952928543
1,2206.0,0,2,1,6,147,0.225910186768
2,758.0,0,2,1,6,82,0.606778860092
3,763.0,0,2,1,6,77,0.615232944489
1,2107.5,0,2,1,7,146,0.240702867508
2,1756.0,0,2,1,7,79,0.610417127609
3,778.0,0,2,1,7,77,0.625198841095
1,2166.0,0,2,1,8,147,0.225885152817
2,0.0,0,2,1,8,-1,0.0845229625702
3,1716.5,0,2,1,8,89,0.637295007706
1,2161.0,0,2,1,9,147,0.225933074951
2,899.0,0,2,1,9,80,0.605338096619
3,717.0,0,2,1,9,85,0.636329174042
1,2157.5,0,2,2,0,147,0.226744890213
2,814.0,0,2,2,0,87,0.603067159653
3,743.0,0,2,2,0,77,0.62322807312
1,2155.0,0,2,2,1,145,0.223973989487
2,793.5,0,2,2,1,83,0.608680009842
3,0.0,0,2,2,1,-1,0.0869870185852
1,2202.0,0,2,2,2,146,0.245108127594
2,721.0,0,2,2,2,88,0.643069028854
3,1711.5,0,2,2,2,83,0.630578994751
1,2230.5,0,2,2,3,145,0.226301908493
2,0.0,0,2,2,3,-1,0.0880489349365
3,2687.0,0,2,2,3,83,0.600589990616
1,2130.5,0,2,2,4,147,0.245218992233
2,1741.5,0,2,2,4,85,0.606019020081
3,1721.0,0,2,2,4,87,0.624273061752
1,2196.0,0,2,2,5,145,0.225162982941
2,796.0,0,2,2,5,86,0.611482143402
3,1759.0,0,2,2,5,86,0.616576910019
1,2151.0,0,2,2,6,146,0.241179943085
2,1695.0,0,2,2,6,86,0.599570035934
3,740.0,0,2,2,6,83,0.618549108505
1,2122.5,0,2,2,7,146,0.224232912064
2,1708.0,0,2,2,7,78,0.60618019104
3,2719.0,0,2,2,7,83,0.631397008896
1,2191.0,0,2,2,8,146,0.225459098816
2,0.0,0,2,2,8,-1,0.0858769416809
3,759.0,0,2,2,8,89,0.616287946701
1,2114.5,0,2,2,9,146,0.244163036346
2,0.0,0,2,2,9,-1,0.0910251140594
3,1735.0,0,2,2,9,88,0.616902112961
1,2178.0,0,2,3,0,147,0.241198062897
2,0.0,0,2,3,0,-1,0.0921940803528
3,0.0,0,2,3,0,-1,0.0834860801697
1,2122.0,0,2,3,1,146,0.244135856628
2,0.0,0,2,3,1,-1,0.08753490448
3,743.0,0,2,3,1,89,0.620650053024
1,2168.5,0,2,3,2,147,0.240740060806
2,0.0,0,2,3,2,-1,0.0803899765015
3,719.0,0,2,3,2,82,0.642102956772
1,2154.5,0,2,3,3,147,0.225286006927
2,0.0,0,2,3,3,-1,0.0839049816132
3,0.0,0,2,3,3,-1,0.0904211997986
1,2191.0,0,2,3,4,146,0.226449966431
2,0.0,0,2,3,4,-1,0.102977991104
3,0.0,0,2,3,4,-1,0.0874559879303
1,2204.0,0,2,3,5,146,0.224581956863
2,0.0,0,2,3,5,-1,0.0833411216736
3,0.0,0,2,3,5,-1,0.0944108963013
1,2096.5,0,2,3,6,145,0.22435593605
2,0.0,0,2,3,6,-1,0.0874960422516
3,1747.0,0,2,3,6,79,0.621095895767
1,2148.5,0,2,3,7,145,0.224820137024
2,0.0,0,2,3,7,-1,0.0872888565063
3,0.0,0,2,3,7,-1,0.102144956589
1,2165.0,0,2,3,8,145,0.224606990814
2,0.0,0,2,3,8,-1,0.0824291706085
3,726.0,0,2,3,8,76,0.630155086517
1,2129.5,0,2,3,9,146,0.223387002945
2,0.0,0,2,3,9,-1,0.084823846817
3,0.0,0,2,3,9,-1,0.0875771045685
1,2162.5,0,2,4,0,146,0.226752996445
2,0.0,0,2,4,0,-1,0.0950388908386
3,1728.0,0,2,4,0,85,0.614284992218
1,2151.5,0,2,4,1,146,0.245814085007
2,720.5,0,2,4,1,90,0.608652114868
3,768.0,0,2,4,1,80,0.623758077621
1,2142.5,0,2,4,2,146,0.224317073822
2,0.0,0,2,4,2,-1,0.092169046402
3,721.5,0,2,4,2,83,0.605896949768
1,2152.5,0,2,4,3,146,0.245852947235
2,776.0,0,2,4,3,79,0.604762792587
3,1741.0,0,2,4,3,87,0.637383937836
1,2153.0,0,2,4,4,147,0.225485086441
2,742.5,0,2,4,4,87,0.604173898697
3,0.0,0,2,4,4,-1,0.0907731056213
1,2178.0,0,2,4,5,146,0.24474811554
2,742.5,0,2,4,5,75,0.608166217804
3,0.0,0,2,4,5,-1,0.080815076828
1,2125.5,0,2,4,6,146,0.244345903397
2,1755.5,0,2,4,6,93,0.615473985672
3,1703.0,0,2,4,6,83,0.622273921967
1,2176.5,0,2,4,7,147,0.224642038345
2,1716.0,0,2,4,7,75,0.600689172745
3,0.0,0,2,4,7,-1,0.09246301651
1,2147.5,0,2,4,8,145,0.285104036331
2,846.0,0,2,4,8,81,0.720789909363
3,1717.5,0,2,4,8,78,0.74497795105
1,2203.0,0,2,4,9,147,0.264803886414
2,1770.0,0,2,4,9,85,0.73063993454
3,765.0,0,2,4,9,85,0.736790895462
1,2098.5,0,3,0,0,147,0.281481981277
2,0.0,0,3,0,0,-1,0.106312036514
3,1749.0,0,3,0,0,91,0.747308015823
1,2221.0,0,3,0,1,146,0.262950897217
2,0.0,0,3,0,1,-1,0.101454019547
3,816.0,0,3,0,1,80,0.716117143631
1,2173.0,0,3,0,2,147,0.28436589241
2,0.0,0,3,0,2,-1,0.0996701717377
3,0.0,0,3,0,2,-1,0.0978379249573
1,2284.0,0,3,0,3,148,0.286807060242
2,1760.5,0,3,0,3,81,0.718370914459
3,0.0,0,3,0,3,-1,0.10953783989
1,2221.0,0,3,0,4,146,0.283909797668
2,1791.0,0,3,0,4,82,0.720649957657
3,0.0,0,3,0,4,-1,0.104236125946
1,2198.5,0,3,0,5,146,0.281837940216
2,0.0,0,3,0,5,-1,0.0951840877533
3,0.0,0,3,0,5,-1,0.099063873291
1,2148.5,0,3,0,6,146,0.284996986389
