ACS Utilization,P,No,,25
ACS Utilization,C,NO,,29
ACS Utilization,M,NO,,37
Broadening,C,NO,,0
Broadening,C,NO,,0
Broadening,P,NO,,0
Broadening,M,NO,,0
Broadening,C,NO,,0
Broadening,P,NO,YES,0
Broadening,B,NO,,0
Broadening,P,NO,,0
Broadening,C,NO,,0
Broadening,A,NO,,0
Broadening,C,NO,,0
Broadening,C,NO,,0
Broadening,C,NO,,0
Broadening,B,NO,,5
Broadening,P,NO,,5
Broadening,C,NO,,8
Broadening,C,NO,,10
Broadening,P,Yes,,10
Broadening,C,Yes,,11
Broadening,C,NO,,13
Broadening,P,YES,,14
Broadening,C,NO,YES,17
Broadening,A,NO,,17
Broadening,P,NO,,17
Broadening,P,YES,,18
Broadening,C,NO,,21
Broadening,P,NO,,22
Broadening,A,YES,,22
Broadening,P,NO,,22
Broadening,C,NO,,27
Broadening,C,NO,,27
Broadening,M,NO,,32
Broadening,M,NO,,33
Broadening,C,NO,,38
Broadening,A,YES,,38
Broadening,A,NO,,41
Broadening,M,NO,,43
Broadening,A,YES,,45
Broadening,M,NO,,45
Broadening,A,NO,YES,47
Broadening,P,NO,,47
Broadening,C,NO,,47
Broadening,C,NO,,53
Broadening,C,NO,,54
Broadening,M,NO,,54
Broadening,M,NO,,56
Broadening,C,NO,,57
Broadening,M,Yes,,58
Broadening,C,NO,,60
Broadening,B,NO,,60
Broadening,C,NO,,60
Broadening,C,NO,,64
Broadening,P,NO,,68
Broadening,P,NO,YES,71
Broadening,P,NO,,72
Broadening,P,NO,YES,74
Broadening,M,NO,,74
Broadening,C,NO,,74
Broadening,A,NO,,75
Broadening,C,NO,,75
Broadening,C,NO,,75
Broadening,C,NO,,75
Broadening,M,YES,,78
Broadening,A,NO,,81
Broadening,M,NO,,81
Broadening,C,NO,,85
Broadening,C,NO,,86
Broadening,P,NO,,94
Broadening,A,NO,,99
Broadening,B,No,,
Broadening,C,NO,,
KD,C,NO,,0
KD,C,NO,,0
KD,C,NO,,0
KD,C,NO,,0
KD,P,NO,,0
KD,A,NO,,0
KD,C,NO,,0
KD,M,NO,,0
KD,B,NO,,0
KD,P,NO,,0
KD,B,NO,,1
KD,C,NO,,3
KD,C,NO,,3
KD,C,NO,,6
KD,A,NO,,7
KD,C,NO,YES,13
KD,M,NO,,17
KD,A,NO,,17
KD,M,NO,,21
KD,P,NO,,21
KD,A,NO,,24
KD,A,YES,,25
KD,C,NO,,25
KD,M,NO,,26
KD,P,NO,,26
KD,A,NO,,26
KD,C,NO,,27
KD,P,NO,,28
KD,C,NO,,28
KD,P,NO,,29
KD,C,NO,,31
KD,A,NO,,32
KD,C,NO,,34
KD,A,NO,,34
KD,A,NO,,36
KD,P,NO,,37
KD,C,NO,,37
KD,A,NO,,38
KD,C,NO,,38
KD,C,NO,,38
KD,P,NO,,40
KD,C,NO,,42
KD,P,NO,,44
KD,M,NO,,44
KD,A,NO,,44
KD,C,NO,,45
KD,M,NO,,45
KD,C,NO,,45
KD,C,NO,,45
KD,C,NO,,48
KD,C,NO,,50
KD,M,NO,,54
KD,C,NO,,55
KD,P,NO,,56
KD,C,YES,,56
KD,P,NO,,57
KD,C,NO,,57
KD,P,NO,,58
KD,B,NO,,58
KD,M,NO,,58
KD,P,NO,,61
KD,C,NO,,61
KD,A,NO,,61
KD,C,NO,,62
KD,C,NO,,63
KD,P,YES,,64
KD,M,YES,,64
KD,P,NO,,64
KD,C,NO,,68
KD,C,NO,,68
KD,P,NO,,68
KD,C,NO,,69
KD,C,NO,,70
KD,C,NO,,70
KD,C,NO,,74
KD,P,NO,,74
KD,B,NO,,75
KD,P,NO,,81
KD,C,NO,,90
KD,C,NO,YES,91
KD,M,NO,,94
KD,A,NO,,96
KD,C,YES,,98
KD,M,NO,,98
KD,C,NO,,
KD,A,NO,,
